doc_type,title,subtitle,date,year,link,link_type,source
press_release,Collateral obligations of counterparties in the Eurosystem's main refinancing operations,,1999-02-02,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990202.en.html,html,json_dataset
press_release,"Mr. Robert Raymond appointed as permanent representative of the European Central Bank in Washington, D.C. with observer status at the International Monetary Fund",,1999-02-08,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990208.en.html,html,json_dataset
press_release,Possible effects of EMU on the EU banking systems in the medium to long term,,1999-02-09,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990209.en.html,html,json_dataset
press_release,Payment systems in the European Union: Addendum incorporating 1997 figures,,1999-02-11,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990211.en.html,html,json_dataset
press_release,Decisions on ECB interest rates,,1999-02-18,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990218.en.html,html,json_dataset
press_release,Visit by His Royal Highness Don Felipe de Borbón,,1999-02-23,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990223.en.html,html,json_dataset
press_release,Year 2000 - Closing of TARGET on 31 December 1999,,1999-03-31,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990331.en.html,html,json_dataset
press_release,The Correspondent Central Banking Model,,1999-04-21,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990421.en.html,html,json_dataset
press_release,Assessment of links between securities settlement systems and updating assessment of securities settlement systems,,1999-05-28,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990528.en.html,html,json_dataset
press_release,Working Paper Series,,1999-06-02,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990602_2.en.html,html,json_dataset
press_release,Schedules for the meetings of the Governing Council and General Council of the ECB and related press conferences in 2000,,1999-06-17,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990617_2.en.html,html,json_dataset
press_release,Information on the ECB's year 2000 compliance activities,,1999-06-24,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990624.en.html,html,json_dataset
press_release,Information campaign on 2002 cash changeover,,1999-07-01,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990701_2.en.html,html,json_dataset
press_release,Euro Area Monetary Aggregates Conceptual Reconciliation Exercise,,1999-07-14,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990714.en.html,html,json_dataset
press_release,Euro banknote production begins,,1999-07-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990715_3.en.html,html,json_dataset
press_release,Euro coins. Background note prepared by the European Commission in close collaboration with the European Central Bank,,1999-07-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990715_2.en.html,html,json_dataset
press_release,TARGET closing days in 2000,,1999-07-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990715_1.en.html,html,json_dataset
press_release,The transition to the year 2000 and the demand for central bank liquidity,,1999-08-11,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990811.en.html,html,json_dataset
press_release,"Mr Gerald Grisse appointed as permanent representative of the European Central Bank in Washington, D.C. with observer status at the International Monetary Fund",,1999-08-30,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990830.en.html,html,json_dataset
press_release,Publication of the Blue book on EU accession countries,,1999-08-31,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990831.en.html,html,json_dataset
press_release,Improving cross-border retail payment services in the euro area - the Eurosystem's view,,1999-09-13,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990913_2.en.html,html,json_dataset
press_release,New fee structure for the correspondent central banking model (CCBM),,1999-09-13,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990913_1.en.html,html,json_dataset
press_release,Indicative calendar for the Eurosystem's tender operations in the year 2000 including an adjustment to smooth the century date change,,1999-09-23,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990923_1.en.html,html,json_dataset
press_release,Joint statement on gold,,1999-09-26,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990926.en.html,html,json_dataset
press_release,Demonstration of TARGET year 2000 compliance,,1999-09-27,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990927.en.html,html,json_dataset
press_release,Decision of the European Central Bank on fraud prevention,,1999-10-07,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991007_1.en.html,html,json_dataset
